id,defects
101763,0.1593449
101764,0.13382481
101765,0.7802018
101766,0.38825986
101767,0.07759874
101768,0.41332084
101769,0.0631843
101770,0.6508501
101771,0.38399243
101772,0.072016455
101773,0.39857364
101774,0.8299485
101775,0.09300512
101776,0.5227346
101777,0.15085
101778,0.29955995
101779,0.9987741
101780,0.08278293
101781,0.12905905
101782,0.06770098
101783,0.06893061
101784,0.07256736
101785,0.10191828
101786,0.23195544
101787,0.069372535
101788,0.4044556
101789,0.06739596
101790,0.059820168
101791,0.064501196
101792,0.072468385
101793,0.094462
101794,0.17103435
101795,0.06970526
101796,0.019382052
101797,0.068290815
101798,0.18102565
101799,0.40991348
101800,0.059916977
101801,0.16701205
101802,0.071287975
101803,0.26141685
101804,0.067873344
101805,0.09231003
101806,0.20671806
101807,0.59466225
101808,0.070698164
101809,0.06894087
101810,0.101659976
101811,0.07522007
101812,0.07208989
101813,0.06416534
101814,0.09479188
101815,0.19618788
101816,0.070877366
101817,0.16467607
101818,0.063540876
101819,0.14923616
101820,0.06764596
101821,0.07222006
101822,0.2310895
101823,0.054993667
101824,0.17284794
101825,0.07038034
101826,0.050074317
101827,0.06628494
101828,0.109963425
101829,0.06645856
101830,0.07291721
101831,0.12883517
101832,0.39642778
101833,0.36945802
101834,0.06938798
101835,0.06330759
101836,0.1646233
101837,0.056182798
101838,0.27205575
101839,0.447691
101840,0.123594426
101841,0.38803685
101842,0.06759933
101843,0.07219048
101844,0.069593444
101845,0.38794398
101846,0.070938446
101847,0.06886987
101848,0.10974562
101849,0.14215818
101850,0.06149104
101851,0.06699765
101852,0.06471988
101853,0.73125935
101854,0.4623227
101855,0.12591998
101856,0.6840835
101857,0.023967795
101858,0.06419852
101859,0.095289595
101860,0.4711009
101861,0.46766567
101862,0.046647433
101863,0.16979949
101864,0.06522926
101865,0.07197462
101866,0.07152319
101867,0.37608925
101868,0.07268585
101869,0.06788685
101870,0.07122502
101871,0.20777498
101872,0.00076168077
101873,0.07004295
101874,0.12291489
101875,0.2294743
101876,0.53413016
101877,0.07556963
101878,0.07035972
101879,0.07235853
101880,0.07161374
101881,0.09211723
101882,0.073687494
101883,0.77431387
101884,0.20160061
101885,0.11619125
101886,0.11504634
101887,0.07081335
101888,0.06037764
101889,0.09558837
101890,0.0726192
101891,0.26881254
101892,0.077607274
101893,0.07016527
101894,0.06178217
101895,0.076243505
101896,0.06504091
101897,0.63958764
101898,0.17377797
101899,0.17736307
101900,0.069613814
101901,0.06696235
101902,0.06555484
101903,0.069902025
101904,0.118825845
101905,0.99103284
101906,0.070279405
101907,0.06436894
101908,0.0708131
101909,0.06146323
101910,0.09899291
101911,0.053408477
101912,0.07085631
101913,0.0724231
101914,0.072600484
101915,0.06771457
101916,0.86559844
101917,0.06528875
101918,0.12847628
101919,0.0753309
101920,0.070697054
101921,0.07183458
101922,0.062073488
101923,0.07023291
101924,0.15233342
101925,0.072517246
101926,0.19272116
101927,0.067993306
101928,0.060939316
101929,0.10890423
101930,0.09271892
101931,0.26580197
101932,0.071912
101933,0.40497717
101934,0.07064145
101935,0.07170346
101936,0.06948553
101937,0.99842215
101938,0.17272915
101939,0.08679556
101940,0.09202884
101941,0.07079794
101942,0.07059459
101943,0.2064002
101944,0.05773753
101945,0.07126467
101946,0.07114425
101947,0.058259137
101948,0.07699081
101949,0.07069593
101950,0.7622843
101951,0.5826068
101952,0.07222736
101953,0.14081715
101954,0.10004653
101955,0.7127065
101956,0.2156114
101957,0.07203959
101958,0.68267703
101959,0.1785422
101960,0.2988245
101961,0.1620041
101962,0.22754347
101963,0.12625444
101964,0.09239331
101965,0.15483639
101966,0.1084933
101967,0.19907649
101968,0.07132101
101969,0.12614879
101970,0.9975872
101971,0.06802044
101972,0.11856298
101973,0.065793134
101974,0.13275214
101975,0.07083057
101976,0.079594545
101977,0.07113049
101978,0.038498536
101979,0.10412285
101980,0.13321345
101981,0.06778031
101982,0.06990172
101983,0.1274158
101984,0.10839264
101985,0.18995953
101986,0.07946169
101987,0.18771511
101988,0.597239
101989,0.066332966
101990,0.21978514
101991,0.27707687
101992,0.070563585
101993,0.26793268
101994,0.058548562
101995,0.03227765
101996,0.10811076
101997,0.118345834
101998,0.06036173
101999,0.06749327
102000,0.120339334
102001,0.30080456
102002,0.87086993
102003,0.062839165
102004,0.06865451
102005,0.28574345
102006,0.079066426
102007,0.6711927
102008,0.062138602
102009,0.088818654
102010,0.06832893
102011,0.2560473
102012,0.06925922
102013,0.09587391
102014,0.062709436
102015,0.24015708
102016,0.05724906
102017,0.06793038
102018,0.4812227
102019,0.07042401
102020,0.6170256
102021,0.49534833
102022,0.07385032
102023,0.11987143
102024,0.059593476
102025,0.07321683
102026,0.05682999
102027,0.06511524
102028,0.067525215
102029,0.072049305
102030,0.12807381
102031,0.06062677
102032,0.059442505
102033,0.0684281
102034,0.078650124
102035,0.06922971
102036,0.11620188
102037,0.14564294
102038,0.13754788
102039,0.07164805
102040,0.3014987
102041,0.21488057
102042,0.069302455
102043,0.088553295
102044,0.3336246
102045,0.22509584
102046,0.111012176
102047,0.58812916
102048,0.086429656
102049,0.13910985
102050,0.2793724
102051,0.091054745
102052,0.07189556
102053,0.25720006
102054,0.078330055
102055,0.20845658
102056,0.07063426
102057,0.070674926
102058,0.07023898
102059,0.1842858
102060,0.48586017
102061,0.24111666
102062,0.071898475
102063,0.108519666
102064,0.5961095
102065,0.07236404
102066,0.07699081
102067,0.06421289
102068,0.07987059
102069,0.059952997
102070,0.06805959
102071,0.07085515
102072,0.25606105
102073,0.065568835
102074,0.08918504
102075,0.06808237
102076,0.09097815
102077,0.09294761
102078,0.096071154
102079,0.09452744
102080,0.06623792
102081,0.07117124
102082,0.5807926
102083,0.07240221
102084,0.070466526
102085,0.07002544
102086,0.197276
102087,0.23735641
102088,0.06960406
102089,0.070424385
102090,0.6014968
102091,0.06796255
102092,0.07106451
102093,0.1632656
102094,0.06409525
